year,region_name,lga_name,incident_count,rate_per_100000pop
2021,2 Eastern,Monash,9572,4834.831801
2021,2 Eastern,Murrindindi,663,4453.550077
2021,2 Eastern,South Gippsland,1264,4150.385815
2021,2 Eastern,Strathbogie,453,4056.595326
2021,2 Eastern,Towong,153,2519.347933
2021,2 Eastern,Wangaratta,1658,5643.486844
2021,2 Eastern,Wellington,3218,7136.520891
2021,2 Eastern,Whitehorse,6947,3947.832017
2021,2 Eastern,Wodonga,2417,5596.72116
2021,2 Eastern,Yarra Ranges,6111,3847.485692
2021,3 Southern Metro,Bayside,3827,3624.739534
2021,3 Southern Metro,Cardinia,5563,4687.592163
2021,3 Southern Metro,Casey,16137,4374.818699
2021,3 Southern Metro,Frankston,10207,7180.594736
2021,3 Southern Metro,Glen Eira,6020,3880.791372
2021,3 Southern Metro,Greater Dandenong,14221,8710.325481
2021,3 Southern Metro,Kingston,8041,4882.803012
2021,3 Southern Metro,Mornington Peninsula,7617,4510.703817
2021,3 Southern Metro,Port Phillip,10175,9077.365022
2021,3 Southern Metro,Stonnington,8943,7821.40983
2021,4 Western,Ararat,1087,9117.597719
2021,4 Western,Ballarat,7188,6350.77706
2021,4 Western,Buloke,244,4019.107231
2021,4 Western,Campaspe,2456,6503.892802
2021,4 Western,Central Goldfields,820,6233.845218
2021,4 Western,Colac-Otway,1226,5693.851012
2021,4 Western,Corangamite,682,4312.907102
2021,4 Western,Gannawarra,639,6121.862426
2021,4 Western,Glenelg,1048,5358.147145
2021,4 Western,Golden Plains,450,1817.080557
2021,4 Western,Greater Bendigo,8000,6590.763046
2021,4 Western,Greater Geelong,15511,5755.302254
2021,4 Western,Hepburn,507,3114.059333
2021,4 Western,Hindmarsh,287,5158.159597
2021,4 Western,Horsham,1472,7374.380041
2021,4 Western,Loddon,412,5495.531546
2021,4 Western,Macedon Ranges,1853,3581.160737
2021,4 Western,Mildura,4405,7975.015841
2021,4 Western,Moorabool,1990,5411.579148
2021,4 Western,Mount Alexander,728,3604.674193
2021,4 Western,Moyne,509,2955.69363
2021,4 Western,Northern Grampians,894,7855.197259
2021,4 Western,Pyrenees,344,4513.251115
2021,4 Western,Queenscliffe,81,2652.259332
2021,4 Western,Southern Grampians,791,4929.270269
2021,4 Western,Surf Coast,1164,3208.55615
2021,4 Western,Swan Hill,1857,9211.766457
2021,4 Western,Warrnambool,2200,6178.560395
2021,4 Western,West Wimmera,122,3253.333333
2021,4 Western,Yarriambiack,333,5161.990389
2021,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,1270,
2021,Unincorporated Vic,Unincorporated Vic,30,
2020,1 North West Metro,Banyule,7262,5505.894841
2020,1 North West Metro,Brimbank,15480,7437.051699
2020,1 North West Metro,Darebin,11895,7150.328212
2020,1 North West Metro,Hobsons Bay,4906,4998.675443
2020,1 North West Metro,Hume,15894,6593.981032
2020,1 North West Metro,Maribyrnong,7305,7695.305916
2020,1 North West Metro,Melbourne,26901,14649.72662
2020,1 North West Metro,Melton,9320,5406.095198
2020,1 North West Metro,Moonee Valley,6719,5101.668919
2020,1 North West Metro,Moreland,11100,5883.600127
2020,1 North West Metro,Nillumbik,1691,2593.558282
2020,1 North West Metro,Whittlesea,12248,5180.808
2020,1 North West Metro,Wyndham,13871,4899.993641
2020,1 North West Metro,Yarra,11428,11086.96496
2020,2 Eastern,Alpine,438,3376.763549
2020,2 Eastern,Bass Coast,1786,4770.426561
2020,2 Eastern,Baw Baw,3587,6537.74651
2020,2 Eastern,Benalla,935,6614.785992
2020,2 Eastern,Boroondara,6521,3563.894324
2020,2 Eastern,East Gippsland,3638,7623.478133
2020,2 Eastern,Greater Shepparton,6382,9519.405746
2020,2 Eastern,Indigo,430,2547.091577
2020,2 Eastern,Knox,8873,5374.579023
2020,2 Eastern,Latrobe,10075,13274.9193
2020,2 Eastern,Manningham,3741,2902.429941
2020,2 Eastern,Mansfield,337,3557.85473
2020,2 Eastern,Maroondah,5920,4959.993297
2020,2 Eastern,Mitchell,3120,6550.905999
2020,2 Eastern,Moira,1835,6114.220978
2020,2 Eastern,Monash,9577,4675.242256
2020,2 Eastern,Murrindindi,598,4079.405144
2020,2 Eastern,South Gippsland,1359,4493.601825
2020,2 Eastern,Strathbogie,475,4322.11101
2020,2 Eastern,Towong,155,2540.56712
2020,2 Eastern,Wangaratta,1748,5988.147032
2020,2 Eastern,Wellington,3385,7562.386899
2020,2 Eastern,Whitehorse,7354,4070.539787
2020,2 Eastern,Wodonga,2828,6631.492555
2020,2 Eastern,Yarra Ranges,6187,3869.26911
2020,3 Southern Metro,Bayside,4195,3901.744857
2020,3 Southern Metro,Cardinia,5449,4692.114939
2020,3 Southern Metro,Casey,17145,4705.071983
2020,3 Southern Metro,Frankston,11096,7744.222891
2020,3 Southern Metro,Glen Eira,6105,3860.283657
2020,3 Southern Metro,Greater Dandenong,14725,8750.973156
2020,3 Southern Metro,Kingston,9034,5402.205372
2020,3 Southern Metro,Mornington Peninsula,8620,5105.667172
2020,3 Southern Metro,Port Phillip,9957,8552.87458
2020,3 Southern Metro,Stonnington,9462,7980.298059
2020,4 Western,Ararat,894,7473.666611
2020,4 Western,Ballarat,8711,7824.837188
2020,4 Western,Buloke,254,4163.251926
2020,4 Western,Campaspe,2798,7428.055644
2020,4 Western,Central Goldfields,866,6614.726551
2020,4 Western,Colac-Otway,1280,5910.329224
2020,4 Western,Corangamite,548,3440.698185
2020,4 Western,Gannawarra,608,5846.153846
2020,4 Western,Glenelg,1165,5938.423896
2020,4 Western,Golden Plains,472,1947.114393
2020,4 Western,Greater Bendigo,8323,6939.4187
2020,4 Western,Greater Geelong,17000,6420.35176
2020,4 Western,Hepburn,738,4567.962367
2020,4 Western,Hindmarsh,246,4399.141631
2020,4 Western,Horsham,1356,6775.934439
2020,4 Western,Loddon,366,4897.631473
2020,4 Western,Macedon Ranges,1724,3383.244697
2020,4 Western,Mildura,5545,9916.660705
2020,4 Western,Moorabool,1641,4558.080107
2020,4 Western,Mount Alexander,894,4470.223511
2020,4 Western,Moyne,506,2972.44904
2020,4 Western,Northern Grampians,735,6446.802912
2020,4 Western,Pyrenees,350,4632.69358
2020,4 Western,Queenscliffe,101,3357.712766
2020,4 Western,Southern Grampians,887,5498.729155
2020,4 Western,Surf Coast,1043,3000.489054
2020,4 Western,Swan Hill,1770,8624.049893
2020,4 Western,Warrnambool,2467,6944.991836
2020,4 Western,West Wimmera,143,3754.266212
2020,4 Western,Yarriambiack,318,4827.690906
2020,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,1377,
2020,Unincorporated Vic,Unincorporated Vic,109,
2019,1 North West Metro,Banyule,7006,5322.09055
2019,1 North West Metro,Brimbank,14661,6995.819973
2019,1 North West Metro,Darebin,11245,6847.354832
2019,1 North West Metro,Hobsons Bay,4848,4958.829847
2019,1 North West Metro,Hume,15591,6675.801237
2019,1 North West Metro,Maribyrnong,6669,7133.99371
2019,1 North West Metro,Melbourne,26587,14853.57051
2019,1 North West Metro,Melton,8330,5050.443809
2019,1 North West Metro,Moonee Valley,6485,4976.479707
2019,1 North West Metro,Moreland,11407,6139.033749
2019,1 North West Metro,Nillumbik,1623,2493.125854
2019,1 North West Metro,Whittlesea,11912,5172.451226
2019,1 North West Metro,Wyndham,11463,4236.032327
2019,1 North West Metro,Yarra,11182,11015.01241
2019,2 Eastern,Alpine,399,3114.267874
2019,2 Eastern,Bass Coast,1782,4907.063197
2019,2 Eastern,Baw Baw,3179,5953.852493
2019,2 Eastern,Benalla,877,6249.109306
2019,2 Eastern,Boroondara,5570,3040.442802
2019,2 Eastern,East Gippsland,3193,6749.386996
2019,2 Eastern,Greater Shepparton,6228,9365.272703
2019,2 Eastern,Indigo,371,2221.689922
2019,2 Eastern,Knox,8090,4916.34914
2019,2 Eastern,Latrobe,9942,13158.97449
2019,2 Eastern,Manningham,3410,2672.727985
2019,2 Eastern,Mansfield,321,3498.637602
2019,2 Eastern,Maroondah,6034,5089.019896
2019,2 Eastern,Mitchell,3034,6583.201337
2019,2 Eastern,Moira,1682,5621.657754
2019,2 Eastern,Monash,8030,3957.692611
2019,2 Eastern,Murrindindi,593,4070.565623
2019,2 Eastern,South Gippsland,995,3326.646606
2019,2 Eastern,Strathbogie,448,4156.615328
2019,2 Eastern,Towong,173,2864.712701
2019,2 Eastern,Wangaratta,1639,5616.091009
2019,2 Eastern,Wellington,2921,6582.090225
2019,2 Eastern,Whitehorse,6361,3558.024153
2019,2 Eastern,Wodonga,2420,5750.540598
2019,2 Eastern,Yarra Ranges,5767,3616.263466
2019,3 Southern Metro,Bayside,3606,3374.635023
2019,3 Southern Metro,Cardinia,4697,4187.058184
2019,3 Southern Metro,Casey,16217,4581.565253
2019,3 Southern Metro,Frankston,11156,7820.813909
2019,3 Southern Metro,Glen Eira,4892,3125.179672
2019,3 Southern Metro,Greater Dandenong,14195,8436.29837
2019,3 Southern Metro,Kingston,8608,5191.672095
2019,3 Southern Metro,Mornington Peninsula,8161,4868.779792
2019,3 Southern Metro,Port Phillip,9650,8346.306867
2019,3 Southern Metro,Stonnington,8170,6936.897161
2019,4 Western,Ararat,912,7700.101317
2019,4 Western,Ballarat,8129,7423.473115
2019,4 Western,Buloke,214,3495.018782
2019,4 Western,Campaspe,2919,7760.202047
2019,4 Western,Central Goldfields,917,6956.455773
2019,4 Western,Colac-Otway,1320,6121.881087
2019,4 Western,Corangamite,487,3040.519448
2019,4 Western,Gannawarra,581,5549.718216
2019,4 Western,Glenelg,956,4859.946114
2019,4 Western,Golden Plains,510,2149.903044
2019,4 Western,Greater Bendigo,8092,6852.342685
2019,4 Western,Greater Geelong,15777,6092.964339
2019,4 Western,Hepburn,619,3875.289551
2019,4 Western,Hindmarsh,249,4457.572503
2019,4 Western,Horsham,1436,7208.835341
2019,4 Western,Loddon,386,5145.294588
2019,4 Western,Macedon Ranges,1782,3547.680669
2019,4 Western,Mildura,5493,9847.79218
2019,4 Western,Moorabool,1633,4658.925566
2019,4 Western,Mount Alexander,751,3802.339122
2019,4 Western,Moyne,458,2701.746107
2019,4 Western,Northern Grampians,762,6683.624243
2019,4 Western,Pyrenees,419,5609.103079
2019,4 Western,Queenscliffe,118,4014.971079
2019,4 Western,Southern Grampians,1108,6882.842589
2019,4 Western,Surf Coast,899,2687.031115
2019,4 Western,Swan Hill,1868,9046.004843
2019,4 Western,Warrnambool,3007,8547.227196
2019,4 Western,West Wimmera,125,3256.056265
2019,4 Western,Yarriambiack,320,4821.455477
2019,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,1483,
2019,Unincorporated Vic,Unincorporated Vic,95,
